a_id,balance
H8usppZ5eczkTrqJJkbNArrVnZGhAVfJkG,1.2106450101e+11
H8vCZ8YdBSqV8iV5EwykwNSYVuFffNy6Mk,115669000
H8zeLH8uhZYddsCTmVYBrpa5d6UNrJdWzc,93787799
H948Lwo524VYKzqpKMk81CYK7DcVUBTMgY,889044302
H95iFjXGMtKPjoJ7QRFqgoRvoUXe5bvjtN,0
H96vmxQhha4pXUEqywWz27aPGmYSqguWin,0
H975B5fuCLHwxNh2eoXNSHidkSEiBABPMK,3.6855789846e+10
H982fYMvGe1aiwpkGrdTfK6DVmfztnsn4X,546574113
H98LLYWs6bct8tzq6NuDAhr1M4kJgbaz9e,2.004330007e+10
HVZhsSrNAZhhk6XxywGKf6VWdmoxp45gHi,0
H99qmwrcpdUv8UdAtmRikfx4nzVYfAGTHX,0
H79ADHBz5rULxeP4AufPaNMz8tR6fw9aSs,0
H9Bnb5J6v3ZVCiW1F1HjHLn6PjTP3vopjg,0
H98rfz5eTH9RMXV34oywQUqjWzdrp1U1bY,125829517
H992fpahc3ugh97CLVYNpnLpyN7KJaAHSx,2.8339633e+10
H9CMcucwy5yaXmZjBidvtd3GCzKFTZ5twV,4.5985424547e+10
H9CStUYN8PMpZw7vhiyfe6HrtkP4SQhaLn,1833691840
H9Cz7Hp3wZsSp4TfGY7HEqHs9dUvqqur57,4.8635560726e+10
H9EYHSs2zeKJWWcpD3ejMqgX6Vsff8zXxF,1.9414109984e+10
H9EbwWV2X94XTn9HhG4k7u23fjoL2xqgnw,749239597
H9FV7oJUSvW1z28NAmcCht5WSZVqPGschr,733604578
H9FXvNMqZv7s3ze4uiMP1vN3ZQZAmhnADj,451189442
H9GxqMwWxwfYQH3XCp6dLcxRJnt3PCoCQG,210198364
H9Jv8Uz8WMF9Wde1ua8RUHQWzmsPumXLCU,482150922
H9LrtsDyFtr9a94eqcW8yuwopuJkHK73G7,457913302
H9c5AgA9Cdd3wwu4VrfQbPhyCSpQb5bJL2,1.5e+10
H9d675a721MEuXdtzvJ5HMMyimeSM4rKxh,0
H9dAmwYfshxF8R5q8fSeJknAbQuDWqhb8P,0
H9dVkpbGvBizxeV1ft51REjsBK8H5tgNdv,30465898
